month,year,Day/Month/Year,overall_change_avg,positive_change_avg,negative_change_avg,overall_change_std,positive_change_std,negative_change_std
April,2015,1/4/2015,1.23529411765,0.857142857143,0.771428571429,2.58645214868,2.14444385699,1.47523778782
February,2016,1/2/2016,1.48387096774,0.88,0.941176470588,3.67968238235,2.80456770287,1.89335022817
January,2000,1/1/2000,1.51785714286,0.829268292683,1.10869565217,3.26229034044,2.96238564891,2.07708262034
June,2014,1/6/2014,1.10256410256,0.75,0.703703703704,2.10974383905,1.41421356237,1.27118535568
August,2011,1/8/2011,1.09523809524,0.709677419355,0.827586206897,1.83626852235,0.990065113111,1.76301007326
October,2010,1/10/2010,1.17391304348,0.714285714286,0.705882352941,1.63260724831,0.982846068598,0.823529411765
July,2003,1/7/2003,1.28571428571,0.833333333333,0.75,2.30202513624,1.46249406457,1.6201851746
February,2001,1/2/2001,1.57692307692,0.976744186047,1.02564102564,3.23054028493,2.01723241323,2.51648085054
November,2008,1/11/2008,0.933333333333,0.727272727273,0.631578947368,1.94821855949,1.48268240275,0.98464668073
February,2012,1/2/2012,1.27272727273,1.05882352941,0.714285714286,2.33903278732,2.27442528579,1.4356965173
December,2004,1/12/2004,1.05128205128,0.733333333333,0.76,1.92085341542,1.71139968707,1.17575507654
November,2007,1/11/2007,0.878787878788,0.68,0.631578947368,1.17441347728,1.0851727973,0.871207650381
July,2010,1/7/2010,1.06666666667,0.769230769231,0.705882352941,1.5477582355,1.18671143235,0.955769224075
September,2005,1/9/2005,1.0,0.703703703704,0.739130434783,1.41421356237,0.895040442488,1.45115819724
March,2011,1/3/2011,1.07317073171,0.735294117647,0.678571428571,1.58330071874,1.17094289632,1.10368122431
April,2005,1/4/2005,0.893617021277,0.677419354839,0.636363636364,1.29210437878,1.14686379578,0.979120874024
May,2003,1/5/2003,1.27906976744,0.787878787879,0.828571428571,2.3059637686,1.3653188274,1.889606373
January,2014,1/1/2014,1.19230769231,0.815789473684,0.837837837838,2.54224659533,2.3039469927,1.21951504569
March,2006,1/3/2006,0.974358974359,0.689655172414,0.72,1.51042835641,1.05384184758,1.11427106217
June,2000,1/6/2000,1.07692307692,0.793103448276,0.76,1.75972922428,1.29666177083,1.17575507654
April,2010,1/4/2010,1.10256410256,0.857142857143,0.703703703704,1.76569695392,1.5971914125,1.21151312843
January,2003,1/1/2003,1.27659574468,0.810810810811,0.810810810811,2.52394597895,1.67393108835,1.44891082742
July,2009,1/7/2009,0.875,0.545454545455,0.761904761905,1.2183492931,0.655554777357,1.19142819078
August,2014,1/8/2014,1.16666666667,0.714285714286,0.75,2.59960314432,1.50373684194,1.65831239518
October,2009,1/10/2009,1.05405405405,0.777777777778,0.72,1.5236149394,0.99380799,1.21720992438
July,2004,1/7/2004,1.02702702703,0.8125,0.631578947368,1.55070143652,1.42384821874,0.665742665299
February,2002,1/2/2002,1.13043478261,0.810810810811,0.758620689655,2.14282113571,1.87209721736,1.54596632907
November,2013,1/11/2013,1.23404255319,0.8,0.742857142857,2.55336878817,2.12367605816,1.22690917449
September,2015,1/9/2015,1.36666666667,0.807692307692,0.952380952381,3.04940795711,1.93190282383,2.6987861553
December,2007,1/12/2007,0.851851851852,0.590909090909,0.555555555556,1.00751633398,0.834434534122,0.598351645237
May,2013,1/5/2013,1.04081632653,0.74358974359,0.709677419355,1.94788408147,1.42717128719,1.1693270297
September,2002,1/9/2002,1.32608695652,0.90625,0.842105263158,2.32242702723,1.66507085059,1.66269147357
March,2008,1/3/2008,1.11111111111,0.703703703704,0.75,1.6960375025,1.38282627427,1.05644281841
April,2000,1/4/2000,1.28571428571,0.860465116279,0.8125,2.59512887494,2.27812035279,1.35640840089
May,2000,1/5/2000,1.06382978723,0.659090909091,0.724137931034,1.90636398167,1.33046782302,1.33640154311
January,2009,1/1/2009,1.0,0.678571428571,0.678571428571,1.71679015056,1.1666059265,1.25509167077
June,2005,1/6/2005,1.12820512821,0.794117647059,0.653846153846,1.86986201574,1.47088232354,1.23855709139
June,2016,1/6/2016,1.3064516129,0.882352941176,0.857142857143,4.2258372321,3.94395570722,1.76704526812
August,2001,1/8/2001,1.27083333333,0.820512820513,0.852941176471,2.21490766675,1.72272584946,1.55549033202
October,2004,1/10/2004,0.871794871795,0.633333333333,0.625,1.41746409857,1.11005505369,0.992156741649
February,2007,1/2/2007,1.12820512821,0.756756756757,0.666666666667,1.84223230222,1.38340366401,0.849836585599
