Country,Month,Year, Day/month/year, Average Policy Change, Standard Deviation
France,October,2001,1/10/2001,0.00365700946152, 0.0259767446825
Slovakia,October,2001,1/10/2001,0.00795304929459, 0.0173070141143
Norway,October,2001,1/10/2001,0.0130450501416, 0.0263396432767
USA (EOIR),October,2001,1/10/2001,-0.00028698568024, 0.03064855511
Finland,October,2001,1/10/2001,0.000983151336544, 0.00584501840036
Sweden,October,2001,1/10/2001,0.0169819373063, 0.0261829398849
Australia,October,2001,1/10/2001,-0.00447121257832, 0.0090222193836
Bulgaria,October,2001,1/10/2001,-0.000154907773288, 0.00845777588161
Romania,October,2001,1/10/2001,-0.000540020726977, 0.00545427994193
Czech Rep.,October,2001,1/10/2001,-0.000502506026194, 0.0238489348087
Portugal,October,2001,1/10/2001,-0.000253757665548, 0.000940583299225
Liechtenstein,October,2001,1/10/2001,-0.0022458579061, 0.00370403699143
Austria,October,2001,1/10/2001,0.00602037280608, 0.0383134681668
Hungary,October,2001,1/10/2001,0.00238343927846, 0.0146970944427
Luxembourg,October,2001,1/10/2001,-0.000335655615484, 0.00143106022029
